country;Region;inflation;lCO2;lGDPc;GDP.growth;internet;lagv
Tunisia;AF;3,544029353;0,876491397;8,364479222;-2,383918674;39,1;2,312944115
Turkey;AS;6,471879671;1,473427409;9,262784341;8,772746296;43,06571043;2,303344249
Uganda;AF;18,69290448;-2,199247442;6,382557914;9,673224959;13,01354333;3,315325268
Ukraine;EU;7,960094513;1,834555827;8,180252813;5,200000009;28,70826284;2,350628299
United Kingdom;EU;4,484239645;1,958083197;10,62182422;1,972398563;85,37999855;0,522650279
United States;AM;3,156841569;2,834410736;10,81540475;1,601454672;69,72946076;0,861529651
Uruguay;AM;8,093775202;0,831255881;9,558639372;5,162133022;51,40466106;2,408452672
Vanuatu;OC;0,862682908;-0,525489663;8,094080471;1,223225535;9,2;3,282154107
Venezuela, RB;AM;26,09021232;1,858846861;9,283088187;4,176425359;40,22;1,861317196
Vietnam;AS;18,67747712;0,678760979;7,341270243;6,240302749;35,07;3,023724028
Zambia;AF;6,429396811;-1,549050286;7,39973277;5,615583296;11,5;2,448099104
Zimbabwe;AF;3,277509412;-0,368605984;6,644513962;11,90540789;15,7;2,653680498
